#2 D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php(12): CollectXbox360ContentCrawler->collectContent()
#3 D:\workspace\alexandar\classes\KDGCrawler.php(19): CollectXbox360ContentCrawler->execute()
#4 D:\workspace\alexandar\1.1.collect_x360.php(10): Crawler->__construct()
#5 {main}
  thrown in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:44:41 Europe/Kiev] PHP Fatal error:  Call to undefined method DOMNodeList::__toString() in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:44:54 Europe/Kiev] PHP Notice:  Undefined property: DOMNodeList::$src in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:45:21 Europe/Kiev] PHP Fatal error:  Call to undefined method DOMNodeList::getAttribute() in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 13:07:22 Europe/Kiev] PHP Fatal error:  Cannot use object of type DOMNodeList as array in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 13:07:38 Europe/Kiev] PHP Fatal error:  Call to undefined method DOMNodeList::getAttribute() in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 48
[09-Jan-2015 13:08:10 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$src in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 48
[09-Jan-2015 13:14:54 Europe/Kiev] PHP Warning:  DOMDocument::loadHTML(): htmlParseEntityRef: no name in Entity, line: 241 in D:\workspace\alexandar\classes\KDGParser.php on line 53
[09-Jan-2015 13:14:54 Europe/Kiev] PHP Warning:  DOMDocument::loadHTML(): htmlParseEntityRef: no name in Entity, line: 290 in D:\workspace\alexandar\classes\KDGParser.php on line 53
[09-Jan-2015 13:14:54 Europe/Kiev] PHP Warning:  DOMDocument::loadHTML(): ID ChangeCultureLink already defined in Entity, line: 3180 in D:\workspace\alexandar\classes\KDGParser.php on line 53
[09-Jan-2015 13:15:44 Europe/Kiev] PHP Warning:  DOMDocument::loadHTML(): htmlParseEntityRef: no name in Entity, line: 241 in D:\workspace\alexandar\classes\KDGParser.php on line 53
[09-Jan-2015 13:15:44 Europe/Kiev] PHP Warning:  DOMDocument::loadHTML(): htmlParseEntityRef: no name in Entity, line: 290 in D:\workspace\alexandar\classes\KDGParser.php on line 53
[09-Jan-2015 13:15:45 Europe/Kiev] PHP Warning:  DOMDocument::loadHTML(): ID ChangeCultureLink already defined in Entity, line: 3180 in D:\workspace\alexandar\classes\KDGParser.php on line 53
[09-Jan-2015 13:21:40 Europe/Kiev] PHP Fatal error:  Call to undefined method DOMNodeList::query() in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 61
[09-Jan-2015 13:21:52 Europe/Kiev] PHP Fatal error:  Call to undefined method DOMElement::query() in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 61
